Country	Record	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	
Angola	GDP_MilUSD	1.122876e+04	1.060378e+04	8.307811e+03	5.768720e+03	4.438321e+03	5.538749e+03	7.526447e+03	7.648377e+03	6.506230e+03	6.152923e+03	9.129595e+03	8.936064e+03	1.528559e+04	1.781271e+04	2.355205e+04	3.697092e+04	5.238101e+04	6.526645e+04	8.853861e+04	7.030716e+04	8.379950e+04	1.117897e+05	1.280529e+05	1.367099e+05	1.457122e+05	1.161936e+05	1.011239e+05	1.221238e+05	1.013532e+05	
Antigua	PBA_GgCO2eq	387	374	371	380	379	389	409	425	437	451	470	476	499	535	556	566	582	609	621	651	648	642	654	656	672	684	703	701	7.515199e+02	
Antigua	CBA_GgCO2eq	9.178994e+02	3.868015e+02	-1.442964e+02	-5.543090e+03	-2.628796e+03	9.284366e+02	6.420056e+02	8.508923e+02	8.911852e+02	9.571637e+02	9.105989e+02	9.626730e+02	9.795771e+02	9.892412e+02	9.985034e+02	1.040041e+03	1.091527e+03	1.142250e+03	1.125075e+03	1.070269e+03	1.047518e+03	1.018559e+03	9.851900e+02	9.976095e+02	9.735568e+02	9.670982e+02	4.580200e+02	4.718739e+02	8.787765e+02	
Antigua	PBA_tCO2eqperCap	6.142857e+00	5.936508e+00	5.796875e+00	5.757576e+00	5.656716e+00	5.637681e+00	5.842857e+00	5.902778e+00	5.986301e+00	6.013333e+00	6.184211e+00	6.181818e+00	6.397436e+00	6.772152e+00	6.950000e+00	6.987654e+00	7.012048e+00	7.250000e+00	7.305882e+00	7.482759e+00	7.363636e+00	7.213483e+00	7.266667e+00	7.130435e+00	7.225806e+00	7.276596e+00	7.400000e+00	7.378947e+00	7.828332e+00	
Antigua	CBA_tCO2eqperCap	1.456983e+01	6.139706e+00	-2.254631e+00	-8.398621e+01	-3.923576e+01	1.345560e+01	9.171509e+00	1.181795e+01	1.220802e+01	1.276218e+01	1.198156e+01	1.250225e+01	1.255868e+01	1.252204e+01	1.248129e+01	1.284001e+01	1.315093e+01	1.359822e+01	1.323618e+01	1.230194e+01	1.190362e+01	1.144448e+01	1.094656e+01	1.084358e+01	1.046835e+01	1.028828e+01	4.821263e+00	4.967094e+00	9.153921e+00	
Antigua	Population	63000	63000	64000	66000	67000	69000	70000	72000	73000	75000	76000	77000	78000	79000	80000	81000	83000	84000	85000	87000	88000	89000	90000	92000	93000	94000	95000	95000	96000	
Antigua	PBA_GgCO2eqPerBnUSDGDP	8.422765e+02	7.764066e+02	7.430683e+02	7.100511e+02	6.429945e+02	6.738489e+02	6.453846e+02	6.244333e+02	6.003897e+02	5.886200e+02	5.661568e+02	5.944499e+02	6.125591e+02	6.252607e+02	6.046257e+02	5.537124e+02	5.030227e+02	4.643887e+02	4.538044e+02	5.317528e+02	5.641160e+02	5.643276e+02	5.450236e+02	5.552508e+02	5.377147e+02	5.117108e+02	4.893549e+02	4.775277e+02	4.666162e+02	
Antigua	CBA_GgCO2eqPerBnUSDGDP	1.997739e+03	8.029820e+02	-2.890083e+02	-1.035757e+04	-4.459899e+03	1.608293e+03	1.013058e+03	1.250178e+03	1.224390e+03	1.249237e+03	1.096897e+03	1.202229e+03	1.202503e+03	1.156138e+03	1.085829e+03	1.017462e+03	9.434072e+02	8.710151e+02	8.221643e+02	8.742222e+02	9.119163e+02	8.953287e+02	8.210271e+02	8.443955e+02	7.790116e+02	7.235008e+02	3.188255e+02	3.214449e+02	5.456293e+02	
Antigua	GDP_MilUSD	4.594691e+02	4.817063e+02	4.992811e+02	5.351728e+02	5.894296e+02	5.772807e+02	6.337306e+02	6.806171e+02	7.278606e+02	7.661989e+02	8.301588e+02	8.007403e+02	8.146153e+02	8.556431e+02	9.195771e+02	1.022191e+03	1.157005e+03	1.311401e+03	1.368431e+03	1.224253e+03	1.148700e+03	1.137637e+03	1.199948e+03	1.181448e+03	1.249733e+03	1.336693e+03	1.436585e+03	1.467978e+03	1.610574e+03	
Argentina	PBA_GgCO2eq	2.300000e+05	2.400000e+05	2.450000e+05	248000	253000	247000	2.590000e+05	2.610000e+05	266000	267000	2.830000e+05	2.790000e+05	272000	2.890000e+05	3.010000e+05	3.100000e+05	324000	339000	3.350000e+05	3.260000e+05	303000	3.130000e+05	314000	324000	3.260000e+05	329000	334000	3.340000e+05	3.246521e+05	
Argentina	CBA_GgCO2eq	2.247971e+05	2.396555e+05	2.545139e+05	2.310494e+05	2.527492e+05	2.582175e+05	2.688598e+05	2.748725e+05	2.799970e+05	2.809830e+05	2.919321e+05	2.863173e+05	2.391873e+05	2.595391e+05	2.737940e+05	2.837330e+05	2.961424e+05	3.125307e+05	3.129592e+05	3.058823e+05	2.923229e+05	3.059699e+05	3.146547e+05	3.288219e+05	3.247895e+05	3.333205e+05	3.376722e+05	3.331958e+05	3.107566e+05	
Argentina	PBA_tCO2eqperCap	7.051105e+00	7.255358e+00	7.307107e+00	7.300559e+00	7.354010e+00	7.091995e+00	7.348352e+00	7.319741e+00	7.375981e+00	7.321688e+00	7.675409e+00	7.484709e+00	7.218301e+00	7.587692e+00	7.819807e+00	7.970586e+00	8.246373e+00	8.542486e+00	8.358283e+00	8.052763e+00	7.409038e+00	7.575024e+00	7.520057e+00	7.678453e+00	7.645762e+00	7.637841e+00	7.676749e+00	7.601793e+00	7.318413e+00	
Argentina	CBA_tCO2eqperCap	6.891600e+00	7.244944e+00	7.590859e+00	6.801571e+00	7.346720e+00	7.414078e+00	7.628094e+00	7.708794e+00	7.764108e+00	7.705130e+00	7.917662e+00	7.681008e+00	6.347521e+00	6.814197e+00	7.113010e+00	7.295220e+00	7.537349e+00	7.875485e+00	7.808362e+00	7.555820e+00	7.147957e+00	7.404887e+00	7.535738e+00	7.792726e+00	7.617373e+00	7.738142e+00	7.761152e+00	7.583491e+00	7.005175e+00	
Argentina	Population	32619000	33079000	33529000	33970000	34403000	34828000	35246000	35657000	36063000	36467000	36871000	37276000	37682000	38088000	38492000	38893000	39290000	39684000	40080000	40483000	40896000	41320000	41755000	42196000	42638000	43075000	43508000	43937000	44361000	
Argentina	PBA_GgCO2eqPerBnUSDGDP	1.627139e+03	1.265022e+03	1.070857e+03	1.047555e+03	9.827533e+02	9.572465e+02	9.516819e+02	8.912139e+02	8.897861e+02	9.417225e+02	9.957645e+02	1.038345e+03	2.783349e+03	2.265122e+03	1.828032e+03	1.559850e+03	1.393205e+03	1.179005e+03	9.265456e+02	9.790481e+02	7.152511e+02	5.903842e+02	5.751101e+02	5.869298e+02	6.193954e+02	5.531743e+02	5.990694e+02	5.196859e+02	6.244853e+02	
Argentina	CBA_GgCO2eqPerBnUSDGDP	1.590331e+03	1.263206e+03	1.112441e+03	9.759555e+02	9.817791e+02	1.000720e+03	9.879113e+02	9.385830e+02	9.366070e+02	9.910413e+02	1.027193e+03	1.065578e+03	2.447580e+03	2.034214e+03	1.662805e+03	1.427680e+03	1.273417e+03	1.086948e+03	8.655849e+02	9.186302e+02	6.900471e+02	5.771240e+02	5.763093e+02	5.956646e+02	6.170956e+02	5.604386e+02	6.056560e+02	5.184347e+02	5.977565e+02	
Argentina	GDP_MilUSD	1.413524e+05	1.897200e+05	2.287886e+05	2.367417e+05	257440	2.580318e+05	2.721498e+05	292859	2.989482e+05	283523	2.842038e+05	2.686968e+05	9.772400e+04	1.275870e+05	1.646579e+05	1.987371e+05	2.325573e+05	2.875305e+05	3.615580e+05	3.329765e+05	4.236274e+05	5.301633e+05	5.459824e+05	5.520251e+05	5.263197e+05	5.947493e+05	5.575314e+05	6.426959e+05	5.198715e+05	
Armenia	PBA_GgCO2eq	25400	23800	28400	12900	12800	13700	10300	10500	9080	7130	5730	5780	5550	6030	6420	7250	7580	8370	9060	7990	8010	8850	9910	9810	9920	10700	11000	10700	1.162051e+04	
Armenia	CBA_GgCO2eq	3.332896e+04	2.948170e+04	2.563445e+04	4.892062e+03	8.675467e+03	1.388686e+04	1.024534e+04	1.042889e+04	8.864729e+03	7.156023e+03	5.867321e+03	5.923329e+03	5.697487e+03	6.091284e+03	6.499168e+03	7.246883e+03	7.909948e+03	9.112071e+03	1.014830e+04	9.139016e+03	9.155901e+03	9.858225e+03	1.078843e+04	1.079377e+04	1.075818e+04	1.142232e+04	1.073965e+04	1.046151e+04	1.284073e+04	
Armenia	PBA_tCO2eqperCap	7.179197e+00	6.790300e+00	8.248620e+00	3.835861e+00	3.897686e+00	4.258626e+00	3.251263e+00	3.351420e+00	2.920553e+00	2.308190e+00	1.866450e+00	1.894461e+00	1.829268e+00	1.998012e+00	2.139287e+00	2.432070e+00	2.562542e+00	2.853733e+00	3.115543e+00	2.766620e+00	2.784150e+00	3.076121e+00	3.436200e+00	3.385093e+00	3.406593e+00	3.656869e+00	3.746594e+00	3.633277e+00	3.936486e+00	
Armenia	CBA_tCO2eqperCap	9.420281e+00	8.411328e+00	7.445383e+00	1.454672e+00	2.641738e+00	4.316710e+00	3.234008e+00	3.328723e+00	2.851312e+00	2.316615e+00	1.911180e+00	1.941438e+00	1.877880e+00	2.018318e+00	2.165668e+00	2.431024e+00	2.674087e+00	3.106741e+00	3.489788e+00	3.164479e+00	3.182447e+00	3.426564e+00	3.740787e+00	3.724557e+00	3.694431e+00	3.903734e+00	3.657919e+00	3.552295e+00	4.349840e+00	
Armenia	Population	3538000	3505000	3443000	3363000	3284000	3217000	3168000	3133000	3109000	3089000	3070000	3051000	3034000	3018000	3001000	2981000	2958000	2933000	2908000	2888000	2877000	2877000	2884000	2898000	2912000	2926000	2936000	2945000	2952000	
Armenia	PBA_GgCO2eqPerBnUSDGDP	1.125468e+04	1.150577e+04	2.231691e+04	1.073825e+04	9.732666e+03	9.330408e+03	6.449719e+03	6.404421e+03	4.794779e+03	3.863489e+03	2.997546e+03	2.728387e+03	2.335529e+03	2.148154e+03	1.794993e+03	1.479450e+03	1.187259e+03	9.091599e+02	7.768795e+02	9.239198e+02	8.649842e+02	8.725994e+02	9.332048e+02	8.820780e+02	8.544717e+02	1.013897e+03	1.043036e+03	9.282185e+02	9.327790e+02	
Armenia	CBA_GgCO2eqPerBnUSDGDP	1.476798e+04	1.425251e+04	2.014373e+04	4.072262e+03	6.596517e+03	9.457667e+03	6.415489e+03	6.361048e+03	4.681103e+03	3.877590e+03	3.069383e+03	2.796044e+03	2.397594e+03	2.169986e+03	1.817128e+03	1.478814e+03	1.238939e+03	9.897645e+02	8.701996e+02	1.056786e+03	9.887277e+02	9.720092e+02	1.015925e+03	9.705345e+02	9.266696e+02	1.082342e+03	1.018349e+03	9.075296e+02	1.030726e+03	
